Proc. of SIGMOD | Proceedings of the .* International Conference on Management of Data, {SIGMOD} Conference
Proc. of NAACL-HLT | Proceedings of the .* Conference of the North {A}merican Chapter of the Association for Computational Linguistics: Human Language Technologies
Proc. of EMNLP | Proceedings of the .* Conference on Empirical Methods in Natural Language Processing
Findings of EMNLP | .*Findings of the.*Conference on Empirical Methods in Natural Language Processing
Proc. of ACL | Proceedings of the .* Annual Meeting of the Association for Computational Linguistics
Findings of ACL | .*Findings of the.*Association for Computational Linguistics
Proc. of WWW | {WWW} '.*: The Web Conference .*
Proc. of WWW | .*ACM Web Conference.*
Proc. of ICLR | .*International Conference on Learning Representations
Proc. of ICML | .*International Conference on Machine Learning
Proc. of ICML | Machine Learning, Proceedings of the .* International Conference
Proc. of NeurIPS | .*Neural Information Processing Systems
Proc. of AAAI | Proceedings of the .*AAAI.* Conference on Artificial Intelligence
Proc. of KDD | The .* {ACM} {SIGKDD} International Conference on Knowledge Discovery
Proc. of CVPR | .*Conference on Computer Vision and Pattern Recognition,.*
Proc. of ICDE | .*International Conference on Data Engineering.*
Proc. of SIGIR | .*International {ACM} {SIGIR}.*
Proc. of INTERSPEECH | Interspeech .*Annual Conference of the International Speech.*
Proc. of AISTATS | .*International Conference on Artificial Intelligence and Statistics.*
Proc. of IJCAI | .*International Joint Conference on Artificial Intelligence.*
Proc. of COLING | .*International Conference on Computational Linguistics.*
Proc. of CCS | .*ACM Conference on Computer and Communications Security.*
Proc. of VLDB | .*International Conference on Very Large Data Bases.*
Proc. of ICASSP | .*IEEE International Conference on Acoustics, Speech and Signal Processing.*
Proc. of UAI | .*Conference on Uncertainty in Artificial Intelligence.*
Proc. of USENIX Security | .*USENIX Security Symposium.*
Proc. of S&P | .*IEEE Symposium on Security and Privacy.*
Proc. of NDSS | .*Network and Distributed System Security Symposium.*
Proc. of PETs | .*Privacy Enhancing Technologies.*
Proc. of PETs | .*Priv. Enhancing Technol.*
Proc. of ICDM | .*International Conference on Data Mining.*
Proc. of ICCV | .*International Conference on Computer Vision.*
Proc. of STOC | .*Symposium on Theory of Computing.*
TKDE | .*IEEE Transactions on Knowledge and Data Engineering.*
TIFS | .*IEEE Transactions on Information Forensics and Security.*
TNNLS | .*IEEE Transactions on Neural Networks and Learning Systems.*
CSUR | .*ACM Computing Surveys.*
TPAMI | .*IEEE Transactions on Pattern Analysis and Machine Intelligence.*
